start;0;0;0;
finish;0;0;499,3;
o3;-4;0;8;
f0;-3;0;32;
o0;0;0;37;
g0;0;0;45;
g1;0;0;70;
f0;0;0;21;
f0;0;0;26;
f0;0;0;53;
f0;0;0;60;
f0;0;0;69;
f0;-3;0;79;
f0;-3;0;87;
f0;-3;0;96;
f0;3;0;104;
f0;3;0;106;
f0;3;0;112;
o2;0;0;118;
f0;0;0;131;
f1;0;0;139;
f0;0;0;148;
g0;0;0;156;
o0;0;0;169;
o1;0;0;177;
o3;0;0;190;
f0;0;0;203;
f0;0;0;199;
f0;0;0;193;
f0;0;0;184;
f0;0;0;165;
f0;0;0;161;
f0;-3;0;212;
f0;4;0;212;
f0;-3;0;215;
f0;4;0;215;
f0;0;0;217;
f0;0;0;220;
f0;0;0;223;
f0;0;0;226;
o3;0;0;233;
f0;0;0;245;
f0;0;0;248;
f0;0;0;251;
f0;0;0;254;
g1;0;0;263;
f0;0;0;273;
f0;0;0;277;
f0;0;0;280;
f0;0;0;283;
f0;0;0;286;
f0;0;0;289;
f0;0;0;292;
g0;0;0;294;
f0;0;0;297;
f0;0;0;299;
f0;0;0;301;
f0;0;0;304;
f0;0;0;306;
f0;0;0;309;
f0;0;0;311;
f0;0;0;313;
f0;0;0;316;
g1;0;0;318;
f0;0;0;321;
f0;0;0;324;
f0;0;0;326;
o2;0;0;330;
f0;0;0;342;
f0;0;0;354;
f0;0;0;365;
f0;0;0;377;
f0;0;0;388;
f0;-3;0;397;
f0;-3;0;403;
f0;3;0;403;
f0;3;0;397;
f0;0;0;412;
f0;0;0;420;
f0;0;0;430;
f0;0;0;440;
f0;0;0;451;
f0;0;0;459;
o1;0;0;466;
